# idx  SPF  NN_cont  NN_round  MCF
0  1.415188  1.221301  1.308568  1.221035
1  1.419027  1.211902  1.296652  1.208602
2  1.442969  1.238517  1.331604  1.234669
3  1.439257  1.236882  1.291001  1.222595
4  1.435475  1.243842  1.250384  1.235566
5  1.447649  1.240441  1.281596  1.229733
6  1.482052  1.257944  1.322538  1.254759
7  1.463002  1.248385  1.308944  1.244712
8  1.505286  1.271675  1.314901  1.260615
9  1.495544  1.266007  1.323306  1.263522
10  1.439004  1.227689  1.255064  1.220525
11  1.495539  1.242966  1.258081  1.240299
12  1.452974  1.204519  1.220626  1.201204
13  1.497671  1.243614  1.338526  1.243177
14  1.506215  1.251947  1.346814  1.249621
15  1.576320  1.404149  1.445505  1.333598
16  1.443950  1.203311  1.257075  1.202776
17  1.451321  1.215572  1.253944  1.214530
18  1.435640  1.206297  1.247721  1.205949
19  1.470960  1.234071  1.291570  1.233392
20  1.368475  1.152894  1.166456  1.152566
21  1.377583  1.161869  1.174627  1.161575
22  1.304431  1.130085  1.143312  1.129681
23  1.288286  1.131632  1.146201  1.131433
24  1.269348  1.112660  1.143698  1.112055
25  1.260573  1.097338  1.123730  1.096629
26  1.202245  1.051597  1.074400  1.051275
27  1.204866  1.063901  1.094130  1.063287
28  1.184062  1.039264  1.052481  1.037623
29  1.178350  1.027121  1.059823  1.026318
30  1.133079  0.991501  1.002950  0.990214
31  1.149085  0.975358  0.977227  0.973738
32  1.135961  0.954300  0.982699  0.953782
33  1.096463  0.917376  0.952277  0.917167
34  1.061604  0.887938  0.930000  0.887876
35  1.022284  0.865317  0.903853  0.865176
36  1.041077  0.858505  0.889511  0.857950
37  1.029334  0.844576  0.888927  0.843223
38  0.982470  0.811398  0.847904  0.810077
39  0.980396  0.803058  0.830444  0.801112
40  0.955661  0.785935  0.826788  0.785348
41  0.928445  0.766370  0.800989  0.764940
42  0.879173  0.729705  0.762257  0.729274
43  0.886183  0.725315  0.781731  0.725035
44  0.834481  0.692442  0.740544  0.692149
45  0.832085  0.694736  0.741220  0.694678
46  0.796496  0.668154  0.702250  0.667614
47  0.832331  0.688289  0.732534  0.687515
48  0.799132  0.668177  0.700877  0.667512
49  0.772538  0.633477  0.672285  0.631774
50  0.803778  0.654453  0.688353  0.653246
51  0.792218  0.660329  0.699246  0.660060
52  0.764226  0.630461  0.662903  0.629984
53  0.769932  0.635045  0.670204  0.633608
54  0.753067  0.623075  0.651503  0.622295
55  0.759070  0.624225  0.655485  0.623645
